n,time,memory,collisions
100,0.00,2176,0
1100,0.01,4608,0
2100,0.02,6840,0
3100,0.03,9444,0
4100,0.03,11316,0
5100,0.04,13624,0
6100,0.05,16628,0
7100,0.06,18136,0
8100,0.07,20408,0
9100,0.08,22608,0
10100,0.08,25080,0
11100,0.10,27444,0
12100,0.11,31132,0
13100,0.12,31132,0
14100,0.12,34104,0
15100,0.14,37688,0
16100,0.15,38708,0
17100,0.17,43092,0
18100,0.17,43072,0
19100,0.18,44804,0
20100,0.19,48016,0
21100,0.21,49896,0
22100,0.22,52472,0
23100,0.23,55208,0
24100,0.27,60088,0
25100,0.27,60096,0
26100,0.28,60084,0
27100,0.28,62924,0
28100,0.29,66132,0
29100,0.33,69716,0
30100,0.34,73048,0
31100,0.35,73028,0
32100,0.36,75408,0
33100,0.36,78620,0
34100,0.41,83868,0
35100,0.41,83864,0
36100,0.42,83868,0
37100,0.43,84316,0
38100,0.44,87400,0
39100,0.44,90576,0
40100,0.45,93784,0
41100,0.52,97484,0
42100,0.53,97472,0
43100,0.52,97484,0
44100,0.56,103056,0
45100,0.57,105068,0
46100,0.57,108252,0
47100,0.58,111456,0
48100,0.67,117600,0
49100,0.68,117608,0
50100,0.67,117608,0
51100,0.69,117600,0
52100,0.69,117808,0
53100,0.70,120520,0
54100,0.71,123832,0
55100,0.70,127024,0
56100,0.74,130232,0
57100,0.85,136936,0
58100,0.86,136888,0
59100,0.86,136904,0
60100,0.87,143860,0
61100,0.88,143872,0
62100,0.89,143880,0
63100,0.90,145632,0
64100,0.91,148836,0
65100,0.91,152024,0
66100,0.90,155372,0
67100,0.92,158560,0
68100,1.04,164964,0
69100,1.07,164956,0
70100,1.05,164964,0
71100,1.06,164948,0
72100,1.07,164960,0
73100,1.08,164956,0
74100,1.09,166556,0
75100,1.09,169652,0
76100,1.10,172892,0
77100,1.11,176172,0
78100,1.12,179360,0
79100,1.12,182552,0
80100,1.13,185764,0
81100,1.29,192152,0
82100,1.30,192152,0
83100,1.31,192148,0
84100,1.31,192144,0
85100,1.32,192156,0
86100,1.32,192156,0
87100,1.35,195496,0
88100,1.39,200808,0
89100,1.42,205244,0
90100,1.41,208340,0
91100,1.42,211612,0
92100,1.46,214820,0
93100,1.42,218020,0
94100,1.46,221216,0
95100,1.47,224424,0
96100,1.66,232228,0
97100,1.66,232224,0
98100,1.67,232240,0
99100,1.68,232236,0
