n,time,memory,collisions
100,0.00,1920,0
1100,0.01,1920,0
2100,0.01,1920,0
3100,0.02,1920,0
4100,0.03,1920,0
5100,0.04,1920,0
6100,0.04,1920,0
7100,0.05,1920,0
8100,0.06,1920,0
9100,0.07,1920,0
10100,0.07,1920,0
11100,0.08,1920,0
12100,0.09,1920,0
13100,0.10,1920,0
14100,0.10,1920,0
15100,0.11,1920,0
16100,0.12,1920,0
17100,0.13,1920,0
18100,0.13,1920,0
19100,0.14,1920,0
20100,0.15,1920,0
21100,0.16,1920,0
22100,0.16,1920,0
23100,0.17,1920,0
24100,0.17,1920,0
25100,0.18,1920,0
26100,0.19,1920,0
27100,0.20,1920,0
28100,0.21,1920,0
29100,0.22,1920,0
30100,0.22,1920,0
31100,0.23,1920,0
32100,0.24,1920,0
33100,0.24,1920,0
34100,0.25,1920,0
35100,0.26,1920,0
36100,0.27,1920,0
37100,0.27,1920,0
38100,0.28,1920,0
39100,0.28,1920,0
40100,0.30,1920,0
41100,0.31,1920,0
42100,0.31,1920,0
43100,0.32,1920,0
44100,0.33,1920,0
45100,0.33,1920,0
46100,0.34,1920,0
47100,0.35,1920,0
48100,0.36,1920,0
49100,0.37,1920,0
50100,0.37,1920,0
51100,0.37,1920,0
52100,0.38,1920,0
53100,0.40,1920,0
54100,0.40,1920,0
55100,0.41,1920,0
56100,0.42,1920,0
57100,0.42,1920,0
58100,0.43,1920,0
59100,0.44,1920,0
60100,0.45,1920,0
61100,0.46,1920,0
62100,0.46,1920,0
63100,0.47,1920,0
64100,0.47,1920,0
65100,0.49,1920,0
66100,0.50,1920,0
67100,0.49,1920,0
68100,0.51,1920,0
69100,0.51,1920,0
70100,0.52,1920,0
71100,0.52,1920,0
72100,0.53,1920,0
73100,0.54,1920,0
74100,0.55,1920,0
75100,0.55,1920,0
76100,0.57,1920,0
77100,0.58,1920,0
78100,0.58,1920,0
79100,0.59,1920,0
80100,0.60,1920,0
81100,0.60,1920,0
82100,0.61,1920,0
83100,0.62,1920,0
84100,0.62,1920,0
85100,0.63,1920,0
86100,0.64,2048,0
87100,0.66,1920,0
88100,0.66,2048,0
89100,0.66,1920,0
90100,0.68,1920,0
91100,0.67,1920,0
92100,0.68,1920,0
93100,0.68,1920,0
94100,0.70,1920,0
95100,0.71,1920,0
96100,0.70,1920,0
97100,0.73,1920,0
98100,0.73,1920,0
99100,0.74,1920,0
