n,time,memory,collisions
100,0.00,2176,0
1100,0.01,4608,0
2100,0.02,6848,0
3100,0.03,9464,0
4100,0.04,11304,0
5100,0.05,13652,0
6100,0.06,16196,0
7100,0.06,18068,0
8100,0.07,20372,0
9100,0.08,22676,0
10100,0.09,24936,0
11100,0.10,27364,0
12100,0.12,30224,0
13100,0.15,31244,0
14100,0.16,34012,0
15100,0.17,37824,0
16100,0.19,38588,0
17100,0.18,41948,0
18100,0.21,43232,0
19100,0.22,44608,0
20100,0.24,47820,0
21100,0.28,50120,0
22100,0.29,52476,0
23100,0.32,54952,0
24100,0.32,58256,0
25100,0.38,60348,0
26100,0.40,60340,0
27100,0.28,62708,0
28100,0.28,65904,0
29100,0.33,70124,0
30100,0.34,73376,0
31100,0.35,73368,0
32100,0.35,75208,0
33100,0.35,78388,0
34100,0.37,81612,0
35100,0.41,84172,0
36100,0.42,84300,0
37100,0.43,84304,0
38100,0.43,87140,0
39100,0.45,90344,0
40100,0.45,93532,0
41100,0.51,98004,0
42100,0.52,98016,0
43100,0.52,98004,0
44100,0.55,103060,0
45100,0.57,104772,0
46100,0.57,107988,0
47100,0.59,111184,0
48100,0.58,114396,0
49100,0.66,118232,0
50100,0.69,118224,0
51100,0.69,118220,0
52100,0.69,118204,0
53100,0.70,120168,0
54100,0.70,123376,0
55100,0.72,126568,0
56100,0.71,129764,0
57100,0.73,132988,0
58100,0.83,137592,0
59100,0.85,137580,0
60100,0.86,144288,0
61100,0.87,144268,0
62100,0.94,144284,0
63100,0.93,145192,0
64100,0.90,148376,0
65100,0.91,151548,0
66100,0.94,154916,0
67100,0.94,157908,0
68100,1.03,165856,0
69100,1.06,165788,0
70100,1.05,165672,0
71100,1.06,165792,0
72100,1.06,165672,0
73100,1.07,165676,0
74100,1.08,166472,0
75100,1.09,169152,0
76100,1.09,172260,0
77100,1.09,175532,0
78100,1.09,178748,0
79100,1.10,181948,0
80100,1.10,185276,0
81100,1.27,193092,0
82100,1.29,193088,0
83100,1.30,193092,0
84100,1.29,193072,0
85100,1.31,193088,0
86100,1.29,193092,0
87100,1.34,195548,0
88100,1.36,200824,0
89100,1.39,204868,0
90100,1.39,207676,0
91100,1.40,210932,0
92100,1.40,214184,0
93100,1.42,217380,0
94100,1.42,220636,0
95100,1.43,223788,0
96100,1.62,233388,0
97100,1.65,233404,0
98100,1.65,233388,0
99100,1.64,233412,0
